id,data
57,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1550}"
58,"{'марка': 'Hyundai', 'модель': 'Elantra', 'тариф': 'комфорт', 'аренда': 1950}"
59,"{'марка': 'Mitsubishi', 'модель': 'Outlander', 'тариф': 'комфорт+', 'аренда': 2550}"
60,"{'марка': 'Chery', 'модель': 'Tiggo 2', 'тариф': 'эконом', 'аренда': 1650}"
61,"{'марка': 'Citroen', 'модель': 'C4', 'тариф': 'комфорт', 'аренда': 1900}"
62,"{'марка': 'Datsun', 'модель': 'on-DO', 'тариф': 'эконом', 'аренда': 1450}"
63,"{'марка': 'Chery', 'модель': 'Tiggo 7', 'тариф': 'комфорт+', 'аренда': 2600}"
64,"{'марка': 'Peugeot', 'модель': '508', 'тариф': 'комфорт+', 'аренда': 2000}"
65,"{'марка': 'Citroen', 'модель': 'C4', 'тариф': 'комфорт', 'аренда': 2300}"
66,"{'марка': 'Geely', 'модель': 'MK', 'тариф': 'эконом', 'аренда': 1200}"
67,"{'марка': 'Datsun', 'модель': 'on-DO', 'тариф': 'эконом', 'аренда': 1450}"
68,"{'марка': 'Chery', 'модель': 'Tiggo 7', 'тариф': 'комфорт+', 'аренда': 3150}"
69,"{'марка': 'Toyota', 'модель': 'Corolla', 'тариф': 'комфорт', 'аренда': 1750}"
70,"{'марка': 'Kia', 'модель': 'Rio', 'тариф': 'эконом', 'аренда': 1450}"
71,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1450}"
72,"{'марка': 'Suzuki', 'модель': 'Alto', 'тариф': 'эконом', 'аренда': 1500}"
73,"{'марка': 'Lada', 'модель': 'Granta', 'тариф': 'эконом', 'аренда': 1550}"
74,"{'марка': 'Geely', 'модель': 'Atlas', 'тариф': 'комфорт+', 'аренда': 2200}"
75,"{'марка': 'Datsun', 'модель': 'on-DO', 'тариф': 'эконом', 'аренда': 1500}"
76,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1250}"
77,"{'марка': 'Suzuki', 'модель': 'Alto', 'тариф': 'эконом', 'аренда': 1550}"
78,"{'марка': 'Lada', 'модель': 'Granta', 'тариф': 'эконом', 'аренда': 1550}"
79,"{'марка': 'Daewoo', 'модель': 'Matiz', 'тариф': 'эконом', 'аренда': 1250}"
80,"{'марка': 'Hyundai', 'модель': 'Solaris', 'тариф': 'эконом', 'аренда': 1600}"
81,"{'марка': 'Toyota', 'модель': 'Corolla', 'тариф': 'комфорт', 'аренда': 2000}"
82,"{'марка': 'Volkswagen', 'модель': 'Polo', 'тариф': 'эконом', 'аренда': 1500}"
83,"{'марка': 'Skoda', 'модель': 'Rapid', 'тариф': 'комфорт', 'аренда': 1800}"
84,"{'марка': 'Honda', 'модель': 'Civic', 'тариф': 'комфорт', 'аренда': 1750}"
85,"{'марка': 'Fiat', 'модель': 'Panda', 'тариф': 'эконом', 'аренда': 1650}"
86,"{'марка': 'Fiat', 'модель': 'Panda', 'тариф': 'эконом', 'аренда': 1400}"
87,"{'марка': 'Fiat', 'модель': 'Panda', 'тариф': 'эконом', 'аренда': 1200}"
88,"{'марка': 'Honda', 'модель': 'Accord', 'тариф': 'комфорт+', 'аренда': 2400}"
89,"{'марка': 'Lada', 'модель': 'Granta', 'тариф': 'эконом', 'аренда': 1300}"
90,"{'марка': 'Volkswagen', 'модель': 'Polo', 'тариф': 'эконом', 'аренда': 1700}"
91,"{'марка': 'Chery', 'модель': 'Tiggo 7', 'тариф': 'комфорт+', 'аренда': 2800}"
92,"{'марка': 'Fiat', 'модель': 'Panda', 'тариф': 'эконом', 'аренда': 1250}"
93,"{'марка': 'Suzuki', 'модель': 'Alto', 'тариф': 'эконом', 'аренда': 1700}"
94,"{'марка': 'Geely', 'модель': 'MK', 'тариф': 'эконом', 'аренда': 1350}"
95,"{'марка': 'Geely', 'модель': 'Atlas', 'тариф': 'комфорт+', 'аренда': 2000}"
96,"{'марка': 'Datsun', 'модель': 'on-DO', 'тариф': 'эконом', 'аренда': 1450}"
97,"{'марка': 'Chery', 'модель': 'Tiggo 2', 'тариф': 'эконом', 'аренда': 1400}"
98,"{'марка': 'Opel', 'модель': 'Astra', 'тариф': 'комфорт', 'аренда': 1850}"
99,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1600}"
100,"{'марка': 'Geely', 'модель': 'MK', 'тариф': 'эконом', 'аренда': 1800}"
101,"{'марка': 'Geely', 'модель': 'Emgrand', 'тариф': 'комфорт', 'аренда': 1800}"
102,"{'марка': 'Mitsubishi', 'модель': 'Outlander', 'тариф': 'комфорт+', 'аренда': 3050}"
103,"{'марка': 'Renault', 'модель': 'Logan', 'тариф': 'эконом', 'аренда': 1250}"
104,"{'марка': 'Daewoo', 'модель': 'Matiz', 'тариф': 'эконом', 'аренда': 1450}"
105,"{'марка': 'Honda', 'модель': 'Civic', 'тариф': 'комфорт', 'аренда': 1900}"
106,"{'марка': 'Skoda', 'модель': 'Rapid', 'тариф': 'комфорт', 'аренда': 2250}"
107,"{'марка': 'Geely', 'модель': 'Atlas', 'тариф': 'комфорт+', 'аренда': 2250}"
108,"{'марка': 'Suzuki', 'модель': 'Alto', 'тариф': 'эконом', 'аренда': 1400}"
109,"{'марка': 'Renault', 'модель': 'Logan', 'тариф': 'эконом', 'аренда': 1350}"
110,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1400}"
111,"{'марка': 'Mitsubishi', 'модель': 'Outlander', 'тариф': 'комфорт+', 'аренда': 2350}"
112,"{'марка': 'Daewoo', 'модель': 'Matiz', 'тариф': 'эконом', 'аренда': 1700}"
113,"{'марка': 'Chery', 'модель': 'Tiggo 2', 'тариф': 'эконом', 'аренда': 1600}"
114,"{'марка': 'Hyundai', 'модель': 'Elantra', 'тариф': 'комфорт', 'аренда': 2150}"
115,"{'марка': 'Mazda', 'модель': '6', 'тариф': 'комфорт+', 'аренда': 2100}"
116,"{'марка': 'Volkswagen', 'модель': 'Passat', 'тариф': 'комфорт+', 'аренда': 2500}"
117,"{'марка': 'Peugeot', 'модель': '508', 'тариф': 'комфорт+', 'аренда': 2600}"
118,"{'марка': 'Renault', 'модель': 'Logan', 'тариф': 'эконом', 'аренда': 1250}"
119,"{'марка': 'Daewoo', 'модель': 'Matiz', 'тариф': 'эконом', 'аренда': 1550}"
120,"{'марка': 'Volkswagen', 'модель': 'Jetta', 'тариф': 'комфорт', 'аренда': 2100}"
121,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1800}"
122,"{'марка': 'Lada', 'модель': 'Granta', 'тариф': 'эконом', 'аренда': 1200}"
123,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1650}"
124,"{'марка': 'Datsun', 'модель': 'on-DO', 'тариф': 'эконом', 'аренда': 1500}"
125,"{'марка': 'Kia', 'модель': 'Rio', 'тариф': 'эконом', 'аренда': 1350}"
126,"{'марка': 'Kia', 'модель': 'Rio', 'тариф': 'эконом', 'аренда': 1350}"
127,"{'марка': 'Honda', 'модель': 'Civic', 'тариф': 'комфорт', 'аренда': 2300}"
128,"{'марка': 'Lada', 'модель': 'Granta', 'тариф': 'эконом', 'аренда': 1800}"
129,"{'марка': 'Peugeot', 'модель': '508', 'тариф': 'комфорт+', 'аренда': 2750}"
130,"{'марка': 'Lada', 'модель': 'Granta', 'тариф': 'эконом', 'аренда': 1350}"
131,"{'марка': 'Lada', 'модель': 'Granta', 'тариф': 'эконом', 'аренда': 1600}"
132,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1350}"
133,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1450}"
134,"{'марка': 'Skoda', 'модель': 'Rapid', 'тариф': 'комфорт', 'аренда': 2100}"
135,"{'марка': 'Subaru', 'модель': 'Outback', 'тариф': 'комфорт+', 'аренда': 2400}"
136,"{'марка': 'Nissan', 'модель': 'Qashqai', 'тариф': 'комфорт+', 'аренда': 2100}"
137,"{'марка': 'Renault', 'модель': 'Logan', 'тариф': 'эконом', 'аренда': 1200}"
138,"{'марка': 'Chery', 'модель': 'Tiggo 2', 'тариф': 'эконом', 'аренда': 1800}"
139,"{'марка': 'Ford', 'модель': 'Mondeo', 'тариф': 'комфорт+', 'аренда': 2500}"
140,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1600}"
141,"{'марка': 'Daewoo', 'модель': 'Matiz', 'тариф': 'эконом', 'аренда': 1200}"
142,"{'марка': 'Chery', 'модель': 'Tiggo 4', 'тариф': 'комфорт', 'аренда': 2100}"
143,"{'марка': 'Geely', 'модель': 'MK', 'тариф': 'эконом', 'аренда': 1450}"
144,"{'марка': 'Mazda', 'модель': '3', 'тариф': 'комфорт', 'аренда': 2050}"
145,"{'марка': 'Lada', 'модель': 'Granta', 'тариф': 'эконом', 'аренда': 1600}"
146,"{'марка': 'Volkswagen', 'модель': 'Jetta', 'тариф': 'комфорт', 'аренда': 2150}"
147,"{'марка': 'Datsun', 'модель': 'on-DO', 'тариф': 'эконом', 'аренда': 1200}"
148,"{'марка': 'Volkswagen', 'модель': 'Polo', 'тариф': 'эконом', 'аренда': 1600}"
149,"{'марка': 'Daewoo', 'модель': 'Matiz', 'тариф': 'эконом', 'аренда': 1450}"
150,"{'марка': 'Opel', 'модель': 'Astra', 'тариф': 'комфорт', 'аренда': 1650}"
151,"{'марка': 'Datsun', 'модель': 'on-DO', 'тариф': 'эконом', 'аренда': 1500}"
152,"{'марка': 'Chery', 'модель': 'Tiggo 2', 'тариф': 'эконом', 'аренда': 1200}"
153,"{'марка': 'Datsun', 'модель': 'on-DO', 'тариф': 'эконом', 'аренда': 1600}"
154,"{'марка': 'Mitsubishi', 'модель': 'Outlander', 'тариф': 'комфорт+', 'аренда': 2950}"
155,"{'марка': 'Honda', 'модель': 'Accord', 'тариф': 'комфорт+', 'аренда': 3100}"
156,"{'марка': 'Renault', 'модель': 'Logan', 'тариф': 'эконом', 'аренда': 1500}"
157,"{'марка': 'Volkswagen', 'модель': 'Polo', 'тариф': 'эконом', 'аренда': 1750}"
158,"{'марка': 'Kia', 'модель': 'Rio', 'тариф': 'эконом', 'аренда': 1450}"
159,"{'марка': 'Mitsubishi', 'модель': 'Outlander', 'тариф': 'комфорт+', 'аренда': 2350}"
160,"{'марка': 'Suzuki', 'модель': 'Alto', 'тариф': 'эконом', 'аренда': 1650}"
161,"{'марка': 'Nissan', 'модель': 'Qashqai', 'тариф': 'комфорт+', 'аренда': 3250}"
162,"{'марка': 'Fiat', 'модель': 'Panda', 'тариф': 'эконом', 'аренда': 1600}"
163,"{'марка': 'Renault', 'модель': 'Logan', 'тариф': 'эконом', 'аренда': 1350}"
164,"{'марка': 'Chery', 'модель': 'Tiggo 4', 'тариф': 'комфорт', 'аренда': 1750}"
165,"{'марка': 'Datsun', 'модель': 'on-DO', 'тариф': 'эконом', 'аренда': 1750}"
166,"{'марка': 'Honda', 'модель': 'Civic', 'тариф': 'комфорт', 'аренда': 2400}"
167,"{'марка': 'Chery', 'модель': 'Tiggo 2', 'тариф': 'эконом', 'аренда': 1450}"
168,"{'марка': 'Chery', 'модель': 'Tiggo 4', 'тариф': 'комфорт', 'аренда': 1950}"
169,"{'марка': 'Suzuki', 'модель': 'Alto', 'тариф': 'эконом', 'аренда': 1750}"
170,"{'марка': 'Chery', 'модель': 'Tiggo 2', 'тариф': 'эконом', 'аренда': 1750}"
171,"{'марка': 'Chery', 'модель': 'Tiggo 4', 'тариф': 'комфорт', 'аренда': 2300}"
172,"{'марка': 'Kia', 'модель': 'Rio', 'тариф': 'эконом', 'аренда': 1500}"
173,"{'марка': 'Datsun', 'модель': 'on-DO', 'тариф': 'эконом', 'аренда': 1550}"
174,"{'марка': 'Fiat', 'модель': 'Panda', 'тариф': 'эконом', 'аренда': 1400}"
175,"{'марка': 'Volkswagen', 'модель': 'Polo', 'тариф': 'эконом', 'аренда': 1450}"
176,"{'марка': 'Hyundai', 'модель': 'Solaris', 'тариф': 'эконом', 'аренда': 1200}"
177,"{'марка': 'Peugeot', 'модель': '408', 'тариф': 'комфорт', 'аренда': 2100}"
178,"{'марка': 'Chery', 'модель': 'Tiggo 7', 'тариф': 'комфорт+', 'аренда': 2800}"
179,"{'марка': 'Fiat', 'модель': 'Panda', 'тариф': 'эконом', 'аренда': 1800}"
180,"{'марка': 'Peugeot', 'модель': '408', 'тариф': 'комфорт', 'аренда': 1950}"
181,"{'марка': 'Hyundai', 'модель': 'Solaris', 'тариф': 'эконом', 'аренда': 1750}"
182,"{'марка': 'Citroen', 'модель': 'C4', 'тариф': 'комфорт', 'аренда': 1750}"
183,"{'марка': 'Datsun', 'модель': 'on-DO', 'тариф': 'эконом', 'аренда': 1650}"
184,"{'марка': 'Daewoo', 'модель': 'Matiz', 'тариф': 'эконом', 'аренда': 1550}"
185,"{'марка': 'Volkswagen', 'модель': 'Jetta', 'тариф': 'комфорт', 'аренда': 2050}"
186,"{'марка': 'Chery', 'модель': 'Tiggo 4', 'тариф': 'комфорт', 'аренда': 2200}"
187,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1200}"
188,"{'марка': 'Suzuki', 'модель': 'Alto', 'тариф': 'эконом', 'аренда': 1350}"
189,"{'марка': 'Geely', 'модель': 'MK', 'тариф': 'эконом', 'аренда': 1250}"
190,"{'марка': 'Fiat', 'модель': 'Panda', 'тариф': 'эконом', 'аренда': 1650}"
191,"{'марка': 'Geely', 'модель': 'Emgrand', 'тариф': 'комфорт', 'аренда': 2000}"
192,"{'марка': 'Geely', 'модель': 'Atlas', 'тариф': 'комфорт+', 'аренда': 2950}"
193,"{'марка': 'Mitsubishi', 'модель': 'Outlander', 'тариф': 'комфорт+', 'аренда': 3300}"
194,"{'марка': 'Chery', 'модель': 'Tiggo 2', 'тариф': 'эконом', 'аренда': 1650}"
195,"{'марка': 'Honda', 'модель': 'Civic', 'тариф': 'комфорт', 'аренда': 1600}"
196,"{'марка': 'Kia', 'модель': 'Rio', 'тариф': 'эконом', 'аренда': 1300}"
197,"{'марка': 'Datsun', 'модель': 'on-DO', 'тариф': 'эконом', 'аренда': 1650}"
198,"{'марка': 'Chery', 'модель': 'Tiggo 2', 'тариф': 'эконом', 'аренда': 1650}"
199,"{'марка': 'Lada', 'модель': 'Granta', 'тариф': 'эконом', 'аренда': 1450}"
200,"{'марка': 'Kia', 'модель': 'Optima', 'тариф': 'комфорт', 'аренда': 1800}"
201,"{'марка': 'Skoda', 'модель': 'Octavia', 'тариф': 'комфорт+', 'аренда': 2350}"
202,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1550}"
203,"{'марка': 'Toyota', 'модель': 'Camry', 'тариф': 'комфорт+', 'аренда': 3000}"
204,"{'марка': 'Honda', 'модель': 'Accord', 'тариф': 'комфорт+', 'аренда': 3300}"
205,"{'марка': 'Volkswagen', 'модель': 'Polo', 'тариф': 'эконом', 'аренда': 1250}"
206,"{'марка': 'Mitsubishi', 'модель': 'Outlander', 'тариф': 'комфорт+', 'аренда': 2850}"
207,"{'марка': 'Toyota', 'модель': 'Camry', 'тариф': 'комфорт+', 'аренда': 2550}"
208,"{'марка': 'Daewoo', 'модель': 'Matiz', 'тариф': 'эконом', 'аренда': 1500}"
209,"{'марка': 'Hyundai', 'модель': 'Solaris', 'тариф': 'эконом', 'аренда': 1800}"
210,"{'марка': 'Datsun', 'модель': 'on-DO', 'тариф': 'эконом', 'аренда': 1800}"
211,"{'марка': 'Ford', 'модель': 'Mondeo', 'тариф': 'комфорт+', 'аренда': 3200}"
212,"{'марка': 'Hyundai', 'модель': 'Solaris', 'тариф': 'эконом', 'аренда': 1250}"
213,"{'марка': 'Mitsubishi', 'модель': 'Outlander', 'тариф': 'комфорт+', 'аренда': 2350}"
214,"{'марка': 'Chery', 'модель': 'Tiggo 4', 'тариф': 'комфорт', 'аренда': 2400}"
215,"{'марка': 'Honda', 'модель': 'Accord', 'тариф': 'комфорт+', 'аренда': 3150}"
216,"{'марка': 'Toyota', 'модель': 'Camry', 'тариф': 'комфорт+', 'аренда': 2600}"
217,"{'марка': 'Volkswagen', 'модель': 'Jetta', 'тариф': 'комфорт', 'аренда': 1600}"
218,"{'марка': 'Daewoo', 'модель': 'Matiz', 'тариф': 'эконом', 'аренда': 1650}"
219,"{'марка': 'Lada', 'модель': 'Granta', 'тариф': 'эконом', 'аренда': 1600}"
220,"{'марка': 'Datsun', 'модель': 'on-DO', 'тариф': 'эконом', 'аренда': 1600}"
221,"{'марка': 'Volkswagen', 'модель': 'Passat', 'тариф': 'комфорт+', 'аренда': 3250}"
222,"{'марка': 'Toyota', 'модель': 'Corolla', 'тариф': 'комфорт', 'аренда': 2500}"
223,"{'марка': 'Renault', 'модель': 'Logan', 'тариф': 'эконом', 'аренда': 1500}"
224,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1300}"
225,"{'марка': 'Hyundai', 'модель': 'Solaris', 'тариф': 'эконом', 'аренда': 1400}"
226,"{'марка': 'Citroen', 'модель': 'C4', 'тариф': 'комфорт', 'аренда': 2300}"
227,"{'марка': 'Suzuki', 'модель': 'Alto', 'тариф': 'эконом', 'аренда': 1700}"
228,"{'марка': 'Volkswagen', 'модель': 'Jetta', 'тариф': 'комфорт', 'аренда': 1600}"
229,"{'марка': 'Chery', 'модель': 'Tiggo 2', 'тариф': 'эконом', 'аренда': 1750}"
230,"{'марка': 'Chery', 'модель': 'Tiggo 4', 'тариф': 'комфорт', 'аренда': 1750}"
231,"{'марка': 'Hyundai', 'модель': 'Elantra', 'тариф': 'комфорт', 'аренда': 2350}"
232,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1550}"
233,"{'марка': 'Toyota', 'модель': 'Camry', 'тариф': 'комфорт+', 'аренда': 3400}"
234,"{'марка': 'Honda', 'модель': 'Accord', 'тариф': 'комфорт+', 'аренда': 3000}"
235,"{'марка': 'Volkswagen', 'модель': 'Polo', 'тариф': 'эконом', 'аренда': 1300}"
236,"{'марка': 'Geely', 'модель': 'Atlas', 'тариф': 'комфорт+', 'аренда': 2000}"
237,"{'марка': 'Honda', 'модель': 'Civic', 'тариф': 'комфорт', 'аренда': 2200}"
238,"{'марка': 'Volkswagen', 'модель': 'Jetta', 'тариф': 'комфорт', 'аренда': 2300}"
239,"{'марка': 'Kia', 'модель': 'Rio', 'тариф': 'эконом', 'аренда': 1200}"
240,"{'марка': 'Datsun', 'модель': 'on-DO', 'тариф': 'эконом', 'аренда': 1300}"
241,"{'марка': 'Renault', 'модель': 'Logan', 'тариф': 'эконом', 'аренда': 1250}"
242,"{'марка': 'Geely', 'модель': 'MK', 'тариф': 'эконом', 'аренда': 1250}"
243,"{'марка': 'Nissan', 'модель': 'Qashqai', 'тариф': 'комфорт+', 'аренда': 3100}"
244,"{'марка': 'Skoda', 'модель': 'Rapid', 'тариф': 'комфорт', 'аренда': 1650}"
245,"{'марка': 'Toyota', 'модель': 'Corolla', 'тариф': 'комфорт', 'аренда': 1650}"
246,"{'марка': 'Skoda', 'модель': 'Octavia', 'тариф': 'комфорт+', 'аренда': 2950}"
247,"{'марка': 'Mitsubishi', 'модель': 'Outlander', 'тариф': 'комфорт+', 'аренда': 3000}"
248,"{'марка': 'Volkswagen', 'модель': 'Polo', 'тариф': 'эконом', 'аренда': 1300}"
249,"{'марка': 'Lada', 'модель': 'Granta', 'тариф': 'эконом', 'аренда': 1800}"
250,"{'марка': 'Fiat', 'модель': 'Panda', 'тариф': 'эконом', 'аренда': 1600}"
251,"{'марка': 'Toyota', 'модель': 'Camry', 'тариф': 'комфорт+', 'аренда': 3200}"
252,"{'марка': 'Opel', 'модель': 'Astra', 'тариф': 'комфорт', 'аренда': 2450}"
253,"{'марка': 'Toyota', 'модель': 'Corolla', 'тариф': 'комфорт', 'аренда': 1750}"
254,"{'марка': 'Skoda', 'модель': 'Rapid', 'тариф': 'комфорт', 'аренда': 2200}"
255,"{'марка': 'Chery', 'модель': 'Tiggo 2', 'тариф': 'эконом', 'аренда': 1600}"
256,"{'марка': 'Chery', 'модель': 'Tiggo 4', 'тариф': 'комфорт', 'аренда': 2500}"
257,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1650}"
258,"{'марка': 'Kia', 'модель': 'Rio', 'тариф': 'эконом', 'аренда': 1700}"
259,"{'марка': 'Hyundai', 'модель': 'Solaris', 'тариф': 'эконом', 'аренда': 1400}"
260,"{'марка': 'Subaru', 'модель': 'Outback', 'тариф': 'комфорт+', 'аренда': 3300}"
261,"{'марка': 'Chevrolet', 'модель': 'Spark', 'тариф': 'эконом', 'аренда': 1750}"
262,"{'марка': 'Mazda', 'модель': '3', 'тариф': 'комфорт', 'аренда': 2250}"
263,"{'марка': 'Volkswagen', 'модель': 'Polo', 'тариф': 'эконом', 'аренда': 1750}"
264,"{'марка': 'Geely', 'модель': 'Atlas', 'тариф': 'комфорт+', 'аренда': 2100}"
265,"{'марка': 'Subaru', 'модель': 'Outback', 'тариф': 'комфорт+', 'аренда': 2000}"
266,"{'марка': 'Volkswagen', 'модель': 'Polo', 'тариф': 'эконом', 'аренда': 1400}"
267,"{'марка': 'Lada', 'модель': 'Granta', 'тариф': 'эконом', 'аренда': 1300}"
268,"{'марка': 'Geely', 'модель': 'MK', 'тариф': 'эконом', 'аренда': 1350}"
269,"{'марка': 'Renault', 'модель': 'Logan', 'тариф': 'эконом', 'аренда': 1750}"
270,"{'марка': 'Chery', 'модель': 'Tiggo 7', 'тариф': 'комфорт+', 'аренда': 2300}"
271,"{'марка': 'Suzuki', 'модель': 'Alto', 'тариф': 'эконом', 'аренда': 1400}"
