id,mark,model,tariff,rent_cost
180,Peugeot,408,комфорт,1950
181,Hyundai,Solaris,эконом,1750
182,Citroen,C4,комфорт,1750
183,Datsun,on-DO,эконом,1650
184,Daewoo,Matiz,эконом,1550
185,Volkswagen,Jetta,комфорт,2050
186,Chery,Tiggo 4,комфорт,2200
187,Chevrolet,Spark,эконом,1200
188,Suzuki,Alto,эконом,1350
189,Geely,MK,эконом,1250
190,Fiat,Panda,эконом,1650
191,Geely,Emgrand,комфорт,2000
192,Geely,Atlas,комфорт+,2950
193,Mitsubishi,Outlander,комфорт+,3300
194,Chery,Tiggo 2,эконом,1650
195,Honda,Civic,комфорт,1600
196,Kia,Rio,эконом,1300
197,Datsun,on-DO,эконом,1650
198,Chery,Tiggo 2,эконом,1650
199,Lada,Granta,эконом,1450
200,Kia,Optima,комфорт,1800
201,Skoda,Octavia,комфорт+,2350
202,Chevrolet,Spark,эконом,1550
203,Toyota,Camry,комфорт+,3000
204,Honda,Accord,комфорт+,3300
205,Volkswagen,Polo,эконом,1250
206,Mitsubishi,Outlander,комфорт+,2850
207,Toyota,Camry,комфорт+,2550
208,Daewoo,Matiz,эконом,1500
209,Hyundai,Solaris,эконом,1800
210,Datsun,on-DO,эконом,1800
211,Ford,Mondeo,комфорт+,3200
212,Hyundai,Solaris,эконом,1250
213,Mitsubishi,Outlander,комфорт+,2350
214,Chery,Tiggo 4,комфорт,2400
215,Honda,Accord,комфорт+,3150
216,Toyota,Camry,комфорт+,2600
217,Volkswagen,Jetta,комфорт,1600
218,Daewoo,Matiz,эконом,1650
219,Lada,Granta,эконом,1600
220,Datsun,on-DO,эконом,1600
221,Volkswagen,Passat,комфорт+,3250
222,Toyota,Corolla,комфорт,2500
223,Renault,Logan,эконом,1500
224,Chevrolet,Spark,эконом,1300
225,Hyundai,Solaris,эконом,1400
226,Citroen,C4,комфорт,2300
227,Suzuki,Alto,эконом,1700
228,Volkswagen,Jetta,комфорт,1600
229,Chery,Tiggo 2,эконом,1750
230,Chery,Tiggo 4,комфорт,1750
231,Hyundai,Elantra,комфорт,2350
232,Chevrolet,Spark,эконом,1550
233,Toyota,Camry,комфорт+,3400
234,Honda,Accord,комфорт+,3000
235,Volkswagen,Polo,эконом,1300
236,Geely,Atlas,комфорт+,2000
237,Honda,Civic,комфорт,2200
238,Volkswagen,Jetta,комфорт,2300
239,Kia,Rio,эконом,1200
240,Datsun,on-DO,эконом,1300
241,Renault,Logan,эконом,1250
242,Geely,MK,эконом,1250
243,Nissan,Qashqai,комфорт+,3100
244,Skoda,Rapid,комфорт,1650
245,Toyota,Corolla,комфорт,1650
246,Skoda,Octavia,комфорт+,2950
247,Mitsubishi,Outlander,комфорт+,3000
248,Volkswagen,Polo,эконом,1300
249,Lada,Granta,эконом,1800
250,Fiat,Panda,эконом,1600
251,Toyota,Camry,комфорт+,3200
252,Opel,Astra,комфорт,2450
253,Toyota,Corolla,комфорт,1750
254,Skoda,Rapid,комфорт,2200
255,Chery,Tiggo 2,эконом,1600
256,Chery,Tiggo 4,комфорт,2500
257,Chevrolet,Spark,эконом,1650
258,Kia,Rio,эконом,1700
259,Hyundai,Solaris,эконом,1400
260,Subaru,Outback,комфорт+,3300
261,Chevrolet,Spark,эконом,1750
262,Mazda,3,комфорт,2250
263,Volkswagen,Polo,эконом,1750
264,Geely,Atlas,комфорт+,2100
265,Subaru,Outback,комфорт+,2000
266,Volkswagen,Polo,эконом,1400
267,Lada,Granta,эконом,1300
268,Geely,MK,эконом,1350
269,Renault,Logan,эконом,1750
270,Chery,Tiggo 7,комфорт+,2300
271,Suzuki,Alto,эконом,1400
272,Mitsubishi,Outlander,комфорт+,2500
273,Renault,Logan,эконом,1650
274,Hyundai,Solaris,эконом,1450
275,Geely,Emgrand,комфорт,1750
276,Skoda,Octavia,комфорт+,2100
277,Geely,MK,эконом,1500
278,Geely,MK,эконом,1800
279,Fiat,Panda,эконом,1550
280,Lada,Granta,эконом,1500
281,Kia,Rio,эконом,1550
282,Datsun,on-DO,эконом,1450
283,Nissan,Qashqai,комфорт+,3500
284,Volkswagen,Polo,эконом,1750
285,Geely,Emgrand,комфорт,1650
286,Volkswagen,Polo,эконом,1800
287,Mazda,3,комфорт,2400
288,Toyota,Camry,комфорт+,2800
289,Chery,Tiggo 4,комфорт,1950
290,Mazda,3,комфорт,2350
291,Volkswagen,Polo,эконом,1800
292,Datsun,on-DO,эконом,1550
293,Mitsubishi,Outlander,комфорт+,2750
294,Hyundai,Elantra,комфорт,2050
295,Volkswagen,Polo,эконом,1350
296,Mazda,6,комфорт+,2200
297,Nissan,Qashqai,комфорт+,2450
298,Volkswagen,Jetta,комфорт,1900
299,Renault,Logan,эконом,1550
300,Geely,Atlas,комфорт+,2050
301,Skoda,Rapid,комфорт,2000
302,Mitsubishi,Outlander,комфорт+,3050
303,Renault,Logan,эконом,1550
304,Lada,Granta,эконом,1500
305,Geely,MK,эконом,1200
306,Geely,MK,эконом,1600
307,Hyundai,Solaris,эконом,1250
308,Kia,Rio,эконом,1500
309,Chevrolet,Spark,эконом,1450
310,Skoda,Rapid,комфорт,2200
311,Volkswagen,Polo,эконом,1200
312,Datsun,on-DO,эконом,1750
313,Skoda,Rapid,комфорт,1850
314,Fiat,Panda,эконом,1400
315,Geely,MK,эконом,1650
316,Renault,Logan,эконом,1400
317,Opel,Astra,комфорт,2450
318,Peugeot,508,комфорт+,2900
319,Ford,Mondeo,комфорт+,3250
320,Geely,MK,эконом,1600
321,Geely,MK,эконом,1650
322,Geely,Atlas,комфорт+,2950
323,Peugeot,508,комфорт+,3450
324,Honda,Accord,комфорт+,3450
325,Geely,MK,эконом,1650
326,Hyundai,Solaris,эконом,1400
327,Chery,Tiggo 2,эконом,1400
328,Hyundai,Solaris,эконом,1600
329,Nissan,Qashqai,комфорт+,2850
330,Lada,Granta,эконом,1350
331,Hyundai,Solaris,эконом,1600
332,Hyundai,Solaris,эконом,1550
333,Skoda,Rapid,комфорт,2200
334,Lada,Granta,эконом,1350
335,Ford,Mondeo,комфорт+,2100
336,Geely,Atlas,комфорт+,2200
337,Kia,Optima,комфорт,1850
338,Chery,Tiggo 7,комфорт+,2050
339,Chevrolet,Spark,эконом,1700
340,Toyota,Camry,комфорт+,3000
341,Datsun,on-DO,эконом,1750
342,Volkswagen,Polo,эконом,1200
343,Opel,Astra,комфорт,2450
344,Ford,Mondeo,комфорт+,3100
345,Lada,Granta,эконом,1800
346,Volkswagen,Polo,эконом,1750
347,Toyota,Corolla,комфорт,1850
348,Opel,Astra,комфорт,1600
349,Datsun,on-DO,эконом,1650
350,Lada,Granta,эконом,1450
351,Citroen,C4,комфорт,2500
352,Geely,Atlas,комфорт+,2000
353,Citroen,C4,комфорт,1850
354,Fiat,Panda,эконом,1600
355,Lada,Granta,эконом,1650
356,Lada,Granta,эконом,1250
357,Hyundai,Elantra,комфорт,2400
358,Chery,Tiggo 2,эконом,1800
359,Datsun,on-DO,эконом,1450
360,Mazda,3,комфорт,2100
361,Chevrolet,Spark,эконом,1550
362,Chery,Tiggo 2,эконом,1350
363,Renault,Logan,эконом,1450
364,Geely,MK,эконом,1750
365,Mitsubishi,Outlander,комфорт+,3400
366,Volkswagen,Polo,эконом,1700
367,Chery,Tiggo 2,эконом,1250
368,Volkswagen,Jetta,комфорт,2150
369,Ford,Mondeo,комфорт+,2900
370,Peugeot,508,комфорт+,2350
371,Peugeot,408,комфорт,1950
372,Geely,MK,эконом,1450
373,Peugeot,408,комфорт,2400
374,Chery,Tiggo 4,комфорт,2000
375,Daewoo,Matiz,эконом,1400
376,Daewoo,Matiz,эконом,1650
377,Honda,Accord,комфорт+,3100
378,Lada,Granta,эконом,1550
379,Mazda,6,комфорт+,3300
380,Geely,MK,эконом,1350
381,Hyundai,Solaris,эконом,1650
382,Honda,Civic,комфорт,2500
383,Peugeot,508,комфорт+,2850
384,Lada,Granta,эконом,1700
385,Chery,Tiggo 2,эконом,1350
386,Skoda,Octavia,комфорт+,3050
387,Honda,Accord,комфорт+,2700
388,Chery,Tiggo 2,эконом,1700
389,Toyota,Camry,комфорт+,2150
390,Mitsubishi,Outlander,комфорт+,3200
391,Kia,Rio,эконом,1450
392,Suzuki,Alto,эконом,1700
393,Kia,Optima,комфорт,1900
394,Lada,Granta,эконом,1550
395,Lada,Granta,эконом,1700
396,Mazda,3,комфорт,1750
397,Chery,Tiggo 7,комфорт+,2000
398,Volkswagen,Passat,комфорт+,2150
399,Chery,Tiggo 7,комфорт+,2300
400,Kia,Optima,комфорт,1800
401,Renault,Logan,эконом,1800
402,Kia,Rio,эконом,1400
403,Suzuki,Alto,эконом,1600
404,Hyundai,Solaris,эконом,1750
405,Mitsubishi,Outlander,комфорт+,2150
406,Geely,MK,эконом,1800
407,Citroen,C4,комфорт,2450
408,Datsun,on-DO,эконом,1650
409,Chery,Tiggo 2,эконом,1550
410,Hyundai,Solaris,эконом,1550
411,Chevrolet,Spark,эконом,1400
412,Toyota,Corolla,комфорт,1950
413,Mitsubishi,Outlander,комфорт+,2650
414,Hyundai,Solaris,эконом,1350
415,Honda,Civic,комфорт,2300
416,Citroen,C4,комфорт,1850
417,Volkswagen,Jetta,комфорт,2200
418,Ford,Mondeo,комфорт+,3450
419,Suzuki,Alto,эконом,1250
420,Kia,Rio,эконом,1700
421,Daewoo,Matiz,эконом,1700
422,Daewoo,Matiz,эконом,1400
423,Volkswagen,Passat,комфорт+,2900
424,Volkswagen,Passat,комфорт+,3000
425,Kia,Rio,эконом,1450
426,Datsun,on-DO,эконом,1450
427,Hyundai,Solaris,эконом,1500
428,Chery,Tiggo 4,комфорт,1600
429,Kia,Rio,эконом,1700
430,Suzuki,Alto,эконом,1400
431,Datsun,on-DO,эконом,1500
432,Kia,Rio,эконом,1600
433,Lada,Granta,эконом,1600
434,Datsun,on-DO,эконом,1800
435,Datsun,on-DO,эконом,1300
436,Citroen,C4,комфорт,2050
437,Geely,MK,эконом,1300
438,Mazda,6,комфорт+,3400
439,Chery,Tiggo 7,комфорт+,3400
440,Renault,Logan,эконом,1450
441,Geely,Atlas,комфорт+,2500
442,Geely,MK,эконом,1800
443,Fiat,Panda,эконом,1600
444,Geely,Emgrand,комфорт,2100
445,Suzuki,Alto,эконом,1600
446,Geely,MK,эконом,1500
447,Daewoo,Matiz,эконом,1700
448,Chery,Tiggo 2,эконом,1250
449,Renault,Logan,эконом,1700
450,Subaru,Outback,комфорт+,2300
451,Datsun,on-DO,эконом,1250
452,Subaru,Outback,комфорт+,2500
453,Hyundai,Solaris,эконом,1600
454,Citroen,C4,комфорт,1700
455,Chery,Tiggo 2,эконом,1650
456,Volkswagen,Polo,эконом,1700
457,Kia,Rio,эконом,1700
458,Datsun,on-DO,эконом,1600
459,Suzuki,Alto,эконом,1750
460,Geely,MK,эконом,1750
461,Chery,Tiggo 2,эконом,1250
462,Lada,Granta,эконом,1300
463,Chery,Tiggo 2,эконом,1800
464,Skoda,Rapid,комфорт,1750
465,Fiat,Panda,эконом,1500
466,Peugeot,508,комфорт+,2100
467,Skoda,Rapid,комфорт,2450
468,Chevrolet,Spark,эконом,1700
469,Skoda,Octavia,комфорт+,3150
470,Hyundai,Solaris,эконом,1400
471,Renault,Logan,эконом,1300
472,Geely,Atlas,комфорт+,2600
473,Honda,Civic,комфорт,2350
474,Geely,Emgrand,комфорт,1900
475,Chery,Tiggo 7,комфорт+,3150
476,Opel,Astra,комфорт,2350
477,Chery,Tiggo 4,комфорт,2100
478,Geely,Atlas,комфорт+,3100
479,Peugeot,508,комфорт+,2900
480,Chery,Tiggo 4,комфорт,1950
481,Fiat,Panda,эконом,1450
482,Kia,Optima,комфорт,2450
483,Geely,Atlas,комфорт+,2550
484,Lada,Granta,эконом,1200
485,Kia,Optima,комфорт,2150
486,Geely,MK,эконом,1400
487,Geely,Atlas,комфорт+,3150
488,Kia,Rio,эконом,1600
489,Lada,Granta,эконом,1350
490,Ford,Mondeo,комфорт+,2100
491,Hyundai,Elantra,комфорт,2200
492,Suzuki,Alto,эконом,1500
493,Kia,Rio,эконом,1550
494,Skoda,Rapid,комфорт,2100
495,Fiat,Panda,эконом,1750
496,Suzuki,Alto,эконом,1200
497,Ford,Mondeo,комфорт+,3300
498,Geely,MK,эконом,1400
499,Peugeot,408,комфорт,1950
500,Suzuki,Alto,эконом,1650
501,Geely,MK,эконом,1350
502,Skoda,Octavia,комфорт+,3050
503,Lada,Granta,эконом,1650
504,Kia,Rio,эконом,1600
505,Hyundai,Solaris,эконом,1600
506,Nissan,Qashqai,комфорт+,2850
507,Geely,Emgrand,комфорт,2250
508,Kia,Rio,эконом,1400
509,Nissan,Qashqai,комфорт+,2400
510,Volkswagen,Polo,эконом,1200
511,Suzuki,Alto,эконом,1200
512,Chevrolet,Spark,эконом,1750
513,Hyundai,Solaris,эконом,1550
514,Hyundai,Solaris,эконом,1800
515,Datsun,on-DO,эконом,1250
516,Hyundai,Elantra,комфорт,1800
517,Mazda,3,комфорт,2450
518,Geely,MK,эконом,1650
519,Geely,Emgrand,комфорт,2200
520,Chery,Tiggo 2,эконом,1500
521,Suzuki,Alto,эконом,1750
522,Kia,Rio,эконом,1200
523,Daewoo,Matiz,эконом,1800
524,Renault,Logan,эконом,1200
525,Fiat,Panda,эконом,1350
526,Fiat,Panda,эконом,1600
527,Honda,Civic,комфорт,1800
528,Mitsubishi,Outlander,комфорт+,2500
529,Chevrolet,Spark,эконом,1400
530,Suzuki,Alto,эконом,1400
531,Honda,Civic,комфорт,1600
532,Chery,Tiggo 2,эконом,1250
533,Volkswagen,Polo,эконом,1750
534,Lada,Granta,эконом,1300
535,Honda,Civic,комфорт,1950
536,Hyundai,Elantra,комфорт,2050
537,Geely,MK,эконом,1250
538,Hyundai,Elantra,комфорт,2400
539,Kia,Optima,комфорт,2300
540,Lada,Granta,эконом,1450
541,Daewoo,Matiz,эконом,1400
542,Suzuki,Alto,эконом,1650
543,Datsun,on-DO,эконом,1400
544,Peugeot,508,комфорт+,2700
545,Renault,Logan,эконом,1550
546,Lada,Granta,эконом,1500
547,Skoda,Octavia,комфорт+,2000
548,Datsun,on-DO,эконом,1400
549,Fiat,Panda,эконом,1250
550,Lada,Granta,эконом,1300
551,Hyundai,Elantra,комфорт,1700
552,Datsun,on-DO,эконом,1250
553,Mazda,3,комфорт,2100
554,Geely,MK,эконом,1250
555,Toyota,Corolla,комфорт,2400
556,Volkswagen,Polo,эконом,1550
557,Kia,Rio,эконом,1200
558,Chery,Tiggo 2,эконом,1750
559,Daewoo,Matiz,эконом,1400
560,Chery,Tiggo 2,эконом,1800
561,Honda,Accord,комфорт+,2450
562,Renault,Logan,эконом,1200
563,Daewoo,Matiz,эконом,1300
564,Mitsubishi,Outlander,комфорт+,3100
565,Mazda,3,комфорт,2400
566,Kia,Rio,эконом,1550
567,Toyota,Corolla,комфорт,2450
568,Honda,Accord,комфорт+,3100
569,Lada,Granta,эконом,1750
570,Toyota,Camry,комфорт+,2100
571,Chery,Tiggo 7,комфорт+,2000
572,Toyota,Corolla,комфорт,2100
573,Kia,Optima,комфорт,2500
574,Kia,Rio,эконом,1350
575,Toyota,Camry,комфорт+,2750
576,Datsun,on-DO,эконом,1750
577,Volkswagen,Jetta,комфорт,1900
578,Honda,Accord,комфорт+,2650
579,Chery,Tiggo 4,комфорт,2000
580,Kia,Optima,комфорт,2350
581,Hyundai,Solaris,эконом,1250
582,Kia,Rio,эконом,1300
583,Ford,Mondeo,комфорт+,2850
584,Renault,Logan,эконом,1750
585,Datsun,on-DO,эконом,1750
586,Renault,Logan,эконом,1750
587,Lada,Granta,эконом,1400
588,Lada,Granta,эконом,1700
589,Kia,Rio,эконом,1600
590,Datsun,on-DO,эконом,1500
591,Hyundai,Solaris,эконом,1550
592,Kia,Rio,эконом,1500
593,Volkswagen,Polo,эконом,1750
594,Datsun,on-DO,эконом,1200
595,Fiat,Panda,эконом,1350
596,Renault,Logan,эконом,1200
597,Mazda,6,комфорт+,2900
598,Peugeot,408,комфорт,2250
599,Geely,MK,эконом,1350
600,Hyundai,Solaris,эконом,1700
601,Daewoo,Matiz,эконом,1700
602,Toyota,Corolla,комфорт,1850
603,Chery,Tiggo 2,эконом,1650
604,Mazda,3,комфорт,2450
605,Subaru,Outback,комфорт+,2700
606,Hyundai,Solaris,эконом,1500
607,Suzuki,Alto,эконом,1250
608,Renault,Logan,эконом,1700
609,Subaru,Outback,комфорт+,2900
610,Fiat,Panda,эконом,1500
611,Honda,Accord,комфорт+,3150
612,Kia,Rio,эконом,1350
613,Toyota,Corolla,комфорт,2150
614,Hyundai,Elantra,комфорт,1850
615,Kia,Rio,эконом,1350
616,Chery,Tiggo 4,комфорт,1700
617,Chery,Tiggo 7,комфорт+,2450
618,Mitsubishi,Outlander,комфорт+,2400
619,Suzuki,Alto,эконом,1200
620,Lada,Granta,эконом,1800
621,Geely,MK,эконом,1500
622,Toyota,Corolla,комфорт,2250
623,Kia,Rio,эконом,1650
624,Renault,Logan,эконом,1400
625,Subaru,Outback,комфорт+,2500
626,Chery,Tiggo 4,комфорт,2000
627,Fiat,Panda,эконом,1650
628,Volkswagen,Passat,комфорт+,2800
629,Chery,Tiggo 2,эконом,1750
630,Honda,Accord,комфорт+,2650
631,Suzuki,Alto,эконом,1200
632,Volkswagen,Polo,эконом,1350
633,Opel,Astra,комфорт,1950
634,Chevrolet,Spark,эконом,1600
635,Chery,Tiggo 4,комфорт,2350
636,Chery,Tiggo 2,эконом,1600
637,Geely,MK,эконом,1600
638,Datsun,on-DO,эконом,1800
639,Chery,Tiggo 7,комфорт+,2650
640,Chery,Tiggo 4,комфорт,2400
641,Renault,Logan,эконом,1400
642,Geely,MK,эконом,1650
643,Renault,Logan,эконом,1400
644,Skoda,Octavia,комфорт+,2850
645,Chevrolet,Spark,эконом,1450
646,Daewoo,Matiz,эконом,1600
647,Renault,Logan,эконом,1200
648,Citroen,C4,комфорт,1950
649,Hyundai,Solaris,эконом,1550
650,Chery,Tiggo 4,комфорт,1950
651,Daewoo,Matiz,эконом,1700
652,Hyundai,Solaris,эконом,1800
653,Skoda,Octavia,комфорт+,2100
654,Geely,Atlas,комфорт+,3300
655,Hyundai,Solaris,эконом,1550
656,Peugeot,508,комфорт+,2550
657,Datsun,on-DO,эконом,1650
658,Mitsubishi,Outlander,комфорт+,3050
659,Subaru,Outback,комфорт+,2200
660,Suzuki,Alto,эконом,1550
661,Kia,Rio,эконом,1200
662,Toyota,Corolla,комфорт,2400
663,Geely,MK,эконом,1450
664,Toyota,Camry,комфорт+,2450
665,Skoda,Octavia,комфорт+,3450
666,Geely,Atlas,комфорт+,3150
667,Volkswagen,Polo,эконом,1800
668,Kia,Rio,эконом,1200
669,Datsun,on-DO,эконом,1650
670,Geely,Emgrand,комфорт,1750
671,Renault,Logan,эконом,1750
672,Suzuki,Alto,эконом,1600
673,Chery,Tiggo 7,комфорт+,2800
674,Volkswagen,Polo,эконом,1550
675,Mazda,3,комфорт,2350
676,Peugeot,508,комфорт+,3400
677,Renault,Logan,эконом,1300
678,Toyota,Camry,комфорт+,3050
679,Datsun,on-DO,эконом,1600
680,Suzuki,Alto,эконом,1800
681,Mazda,6,комфорт+,3350
682,Subaru,Outback,комфорт+,2600
683,Chevrolet,Spark,эконом,1650
684,Toyota,Camry,комфорт+,3000
685,Mazda,3,комфорт,1800
686,Lada,Granta,эконом,1750
687,Hyundai,Solaris,эконом,1700
688,Suzuki,Alto,эконом,1300
689,Subaru,Outback,комфорт+,2650
690,Lada,Granta,эконом,1600
691,Geely,Emgrand,комфорт,2350
692,Opel,Astra,комфорт,1600
693,Kia,Rio,эконом,1700
694,Citroen,C4,комфорт,1900
695,Renault,Logan,эконом,1750
696,Ford,Mondeo,комфорт+,3150
697,Chery,Tiggo 2,эконом,1750
698,Datsun,on-DO,эконом,1800
699,Mazda,3,комфорт,2300
700,Chevrolet,Spark,эконом,1750
701,Mazda,3,комфорт,2300
702,Renault,Logan,эконом,1500
703,Subaru,Outback,комфорт+,2250
704,Geely,MK,эконом,1250
705,Mazda,6,комфорт+,3000
706,Chery,Tiggo 2,эконом,1350
707,Chery,Tiggo 2,эконом,1200
708,Nissan,Qashqai,комфорт+,3250
709,Datsun,on-DO,эконом,1700
710,Geely,MK,эконом,1700
711,Geely,Emgrand,комфорт,2250
712,Suzuki,Alto,эконом,1300
713,Chery,Tiggo 2,эконом,1350
714,Daewoo,Matiz,эконом,1650
715,Peugeot,508,комфорт+,2000
716,Chevrolet,Spark,эконом,1450
717,Datsun,on-DO,эконом,1250
718,Renault,Logan,эконом,1800
719,Skoda,Rapid,комфорт,1800
720,Daewoo,Matiz,эконом,1700
721,Volkswagen,Jetta,комфорт,1600
722,Datsun,on-DO,эконом,1500
723,Daewoo,Matiz,эконом,1500
